"Year","Municipality_code","Municipality_description","Province_code","Province_initials","Order","nbuildings","Undisturbed_context","Dumps_proximity","Pollutant_industries_proximity","Polluted_waters_proximity","Air_pollution_sources_proximity","Acoustic_pollution_sources_proximity","Electromagnetic_radiation_sources_proximity","Graveyards_proximity","School_area_specific_criticalities","Layby_absence","Unenclosed_area","Large_traffic","Railway_traffic","Abandoned_industries","Decayed_urban_area","Hazardous_industries_proximity","School_bus","Urban_public_transport","Interurban_public_transport","Railway_transport","Private_transport","Disabled_people_transport","Teaching_spaces","Collective_spaces","Auditorium","Canteen","Gymnasium","Administration_spaces"
202021,"001001","Aglie'",1,"TO","Middle",2,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0.5,1,0,1,0.5,0.5,1,0,0.5,0.5,0.5
202021,"001001","Aglie'",1,"TO","Primary",2,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0.5,1,0,1,0.5,0.5,1,0,0.5,0.5,0.5
202021,"001002","Airasca",1,"TO","IC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
202021,"001002","Airasca",1,"TO","Middle",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,0,0,1,0.5
202021,"001002","Airasca",1,"TO","NR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
202021,"001002","Airasca",1,"TO","Primary",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
202021,"001003","Ala Di Stura",1,"TO","Primary",1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
202021,"001004","Albiano D'ivrea",1,"TO","NR",2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0.5,1,0.5,0.5,0,0
202021,"001004","Albiano D'ivrea",1,"TO","Primary",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0
202021,"001006","Almese",1,"TO","IC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1
202021,"001006","Almese",1,"TO","Middle",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1
202021,"001006","Almese",1,"TO","Primary",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0.75,0,0.5,0.75,0
202021,"001008","Alpignano",1,"TO","IC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1
202021,"001008","Alpignano",1,"TO","Middle",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1
202021,"001008","Alpignano",1,"TO","NR",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,1,0,1,1,0,1,0,0.666666666666667
202021,"001008","Alpignano",1,"TO","Primary",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0.333333333333333,1,0.666666666666667,1,1,0.666666666666667,1,0.666666666666667,0.666666666666667
202021,"001009","Andezeno",1,"TO","IC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1
202021,"001009","Andezeno",1,"TO","Middle",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1
202021,"001009","Andezeno",1,"TO","NR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1
202021,"001009","Andezeno",1,"TO","Primary",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0
