"Municipality_code","Order","Municipality_description","Province_code","Province_initials","nschools","Students_grade_1","Classes_grade_1","Students_per_class_1","Students_grade_2","Classes_grade_2","Students_per_class_2","Students_grade_3","Classes_grade_3","Students_per_class_3","Students_grade_4","Classes_grade_4","Students_per_class_4","Students_grade_5","Classes_grade_5","Students_per_class_5","Students_grade_6","Classes_grade_6","Students_per_class_6","Students_grade_7","Classes_grade_7","Students_per_class_7","Students_grade_8","Classes_grade_8","Students_per_class_8","Students_grade_9","Classes_grade_9","Students_per_class_9","Students_grade_10","Classes_grade_10","Students_per_class_10","Students_grade_11","Classes_grade_11","Students_per_class_11","Students_grade_12","Classes_grade_12","Students_per_class_12","Students_grade_13","Classes_grade_13","Students_per_class_13","Tot_Students","Tot_Classes","Students_per_class_Tot","Availability","Inner_area"
"001001","Middle","Aglie'",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,17.5,27,2,13.5,24,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,6,14.3333333333333,1,0
"001001","Primary","Aglie'",1,"TO",1,24,1,24,13,1,13,21,1,21,14,1,14,23,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,5,19,1,0
"001002","Middle","Airasca",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,23,34,2,17,44,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,6,20.6666666666667,1,0
"001002","Primary","Airasca",1,"TO",1,26,2,13,40,2,20,34,2,17,38,2,19,40,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,10,17.8,1,0
"001004","Primary","Albiano D'ivrea",1,"TO",1,16,1,16,15,1,15,14,1,14,14,1,14,16,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,5,15,1,0
"001006","Middle","Almese",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,5,21.8,107,5,21.4,103,5,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,15,21.2666666666667,1,0
"001006","Primary","Almese",1,"TO",3,57,3,19,43,3,14.3333333333333,53,3,17.6666666666667,44,3,14.6666666666667,74,4,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,16,16.9375,1,0
"001008","Middle","Alpignano",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,5,20.6,121,5,24.2,108,5,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,15,22.1333333333333,1,0
"001008","Primary","Alpignano",1,"TO",3,131,6,21.8333333333333,110,6,18.3333333333333,112,6,18.6666666666667,123,6,20.5,122,6,20.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,30,19.9333333333333,1,0
"001009","Middle","Andezeno",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,4,22,65,3,21.6666666666667,72,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,11,20.4545454545455,1,0
"001009","Primary","Andezeno",1,"TO",1,16,1,16,22,1,22,22,1,22,21,1,21,19,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,20,1,0
"001010","Primary","Andrate",1,"TO",1,4,1,4,5,1,5,4,1,4,5,1,5,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,4.6,1,0
"001011","Primary","Angrogna",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,1,1
"001013","High","Avigliana",1,"TO",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,9,21.6666666666667,155,8,19.375,124,6,20.6666666666667,146,8,18.25,121,7,17.2857142857143,741,38,19.5,1,0
"001013","Middle","Avigliana",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,5,21.6,120,6,20,101,5,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,16,20.5625,1,0
"001013","Primary","Avigliana",1,"TO",4,110,5,22,101,5,20.2,105,5,21,97,5,19.4,122,6,20.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,26,20.5769230769231,1,0
"001014","Primary","Azeglio",1,"TO",1,12,1,12,20,1,20,16,1,16,9,1,9,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,5,13.8,1,0
"001015","Primary","Bairo",1,"TO",1,6,1,6,3,1,3,6,1,6,4,1,4,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,5.4,1,0
"001016","Middle","Balangero",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,22,36,2,18,27,2,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,5,17,1,1
"001016","Primary","Balangero",1,"TO",1,23,1,23,17,1,17,30,2,15,20,1,20,20,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,6,18.3333333333333,1,1
"001018","Middle","Baldissero Torinese",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,16.3333333333333,58,3,19.3333333333333,46,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,8,19.125,1,1
"001018","Primary","Baldissero Torinese",1,"TO",1,36,2,18,31,2,15.5,40,2,20,34,2,17,41,2,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,10,18.2,1,1
"001020","Middle","Banchette",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,5,19.8,79,4,19.75,86,4,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,13,20.3076923076923,1,0
"001020","Primary","Banchette",1,"TO",1,30,2,15,34,2,17,39,2,19.5,36,2,18,41,2,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,10,18,1,0
"001021","Primary","Barbania",1,"TO",1,0,0,0,0,0,0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,12,1,1
"001022","Middle","Bardonecchia",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,15,24,1,24,30,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,5,16.8,1,1
"001022","Primary","Bardonecchia",1,"TO",1,19,1,19,30,2,15,24,1,24,34,2,17,33,2,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,8,17.5,1,1
"001024","Middle","Beinasco",1,"TO",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,7,21.8571428571429,157,8,19.625,157,7,22.4285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,22,21.2272727272727,1,0
"001024","Primary","Beinasco",1,"TO",5,173,9,19.2222222222222,154,8,19.25,167,9,18.5555555555556,151,8,18.875,164,8,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,42,19.2619047619048,1,0
"001025","Middle","Bibiana",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,25,29,2,14.5,44,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,5,19.6,1,0
"001025","Primary","Bibiana",1,"TO",1,36,2,18,31,2,15.5,26,1,26,25,1,25,39,2,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,8,19.625,1,0
"001026","Primary","Bobbio Pellice",1,"TO",1,0,0,0,0,0,0,0,0,0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,12,1,1
"001027","Primary","Bollengo",1,"TO",1,24,1,24,17,1,17,24,1,24,20,1,20,19,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,5,20.8,1,0
"001028","Middle","Borgaro Torinese",1,"TO",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,9,23.4444444444444,195,9,21.6666666666667,215,10,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,28,22.1785714285714,1,0
"001028","Primary","Borgaro Torinese",1,"TO",2,121,6,20.1666666666667,108,5,21.6,107,5,21.4,125,5,25,103,4,25.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,25,22.56,1,0
"001030","Middle","Borgofranco D'ivrea",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,15,45,2,22.5,28,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,6,17.1666666666667,1,0
"001030","Primary","Borgofranco D'ivrea",1,"TO",1,27,1,27,27,1,27,31,2,15.5,19,1,19,33,2,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,7,19.5714285714286,1,0
"001032","Middle","Borgone Susa",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,12,36,2,18,30,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,6,15,1,0
"001032","Primary","Borgone Susa",1,"TO",1,13,1,13,10,1,10,15,1,15,13,1,13,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,13,1,0
"001033","Middle","Bosconero",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,22.5,32,2,16,30,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,6,17.8333333333333,1,0
"001033","Primary","Bosconero",1,"TO",1,29,2,14.5,34,2,17,27,1,27,37,2,18.5,36,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,9,18.1111111111111,1,0
"001034","Middle","Brandizzo",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,4,19.25,80,4,20,73,3,24.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,11,20.9090909090909,1,0
"001034","Primary","Brandizzo",1,"TO",2,82,4,20.5,105,5,21,91,4,22.75,87,4,21.75,81,4,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,21,21.2380952380952,1,0
"001035","Middle","Bricherasio",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,18,48,2,24,43,2,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,7,20.7142857142857,1,0
"001035","Primary","Bricherasio",1,"TO",1,28,2,14,39,2,19.5,35,2,17.5,40,2,20,37,2,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,10,17.9,1,0
"001038","Middle","Bruino",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4,20,76,4,19,83,4,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,12,19.9166666666667,1,0
"001038","Primary","Bruino",1,"TO",3,73,4,18.25,81,4,20.25,75,4,18.75,73,4,18.25,73,4,18.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,20,18.75,1,0
"001039","Middle","Brusasco",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,23,47,3,15.6666666666667,73,3,24.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,8,20.75,1,0
"001039","Primary","Brusasco",1,"TO",1,0,0,0,18,1,18,0,0,0,23,1,23,17,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,19.3333333333333,1,0
"001040","Primary","Bruzolo",1,"TO",1,0,0,0,11,1,11,0,0,0,0,0,0,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,12.5,1,0
"001041","Middle","Buriasco",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,17,37,2,18.5,42,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,6,18.8333333333333,1,0
"001041","Primary","Buriasco",1,"TO",1,18,1,18,25,1,25,11,1,11,19,1,19,22,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,5,19,1,0
"001042","Middle","Burolo",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,21,68,3,22.6666666666667,64,3,21.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,9,21.6666666666667,1,0
"001043","Primary","Busano",1,"TO",1,16,1,16,23,1,23,16,1,16,25,1,25,24,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,5,20.8,1,1
"001044","High","Bussoleno",1,"TO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4,23,123,6,20.5,89,5,17.8,104,6,17.3333333333333,86,5,17.2,494,26,19,1,0
