"","names.DB23_mun."
"1","Province_code"
"2","Province_initials"
"3","Municipality_code"
"4","Municipality_description"
"5","Order"
"6","M_Italian_2"
"7","M_Mathematics_2"
"8","S_Italian_2"
"9","S_Mathematics_2"
"10","C_Italian_2"
"11","C_Mathematics_2"
"12","M_English_L_5"
"13","M_English_R_5"
"14","M_Italian_5"
"15","M_Mathematics_5"
"16","S_English_L_5"
"17","S_English_R_5"
"18","S_Italian_5"
"19","S_Mathematics_5"
"20","C_English_L_5"
"21","C_English_R_5"
"22","C_Italian_5"
"23","C_Mathematics_5"
"24","M_English_L_8"
"25","M_English_R_8"
"26","M_Italian_8"
"27","M_Mathematics_8"
"28","S_English_L_8"
"29","S_English_R_8"
"30","S_Italian_8"
"31","S_Mathematics_8"
"32","C_English_L_8"
"33","C_English_R_8"
"34","C_Italian_8"
"35","C_Mathematics_8"
"36","M_Italian_10"
"37","M_Mathematics_10"
"38","S_Italian_10"
"39","S_Mathematics_10"
"40","C_Italian_10"
"41","C_Mathematics_10"
"42","M_English_L_13"
"43","M_English_R_13"
"44","M_Italian_13"
"45","M_Mathematics_13"
"46","S_English_L_13"
"47","S_English_R_13"
"48","S_Italian_13"
"49","S_Mathematics_13"
"50","C_English_L_13"
"51","C_English_R_13"
"52","C_Italian_13"
"53","C_Mathematics_13"
"54","nbuildings"
"55","Undisturbed_context"
"56","Dumps_proximity"
"57","Pollutant_industries_proximity"
"58","Polluted_waters_proximity"
"59","Air_pollution_sources_proximity"
"60","Acoustic_pollution_sources_proximity"
"61","Electromagnetic_radiation_sources_proximity"
"62","Graveyards_proximity"
"63","Other_disturbances_proximity"
"64","School_area_specific_criticalities"
"65","Layby_absence"
"66","Unenclosed_area"
"67","Large_traffic"
"68","Railway_traffic"
"69","Abandoned_industries"
"70","Decayed_urban_area"
"71","Hazardous_industries_proximity"
"72","Other_specific_criticalities"
"73","School_bus"
"74","Urban_public_transport"
"75","Interurban_public_transport"
"76","Railway_transport"
"77","Private_transport"
"78","Disabled_people_transport"
"79","Bicycle_lane"
"80","Other"
"81","Hydrogeological_restrictions"
"82","Landscape_restrictions"
"83","Protected_building"
"84","Cultural_heritage_restrictions"
"85","National_seismic_classification"
"86","School_area_surface"
"87","Free_area_surface"
"88","Gross_building_volume"
"89","Floors_number"
"90","Teaching_spaces"
"91","Classrooms"
"92","IT_classrooms"
"93","Technology_classrooms"
"94","Collective_spaces"
"95","Auditorium"
"96","Canteen"
"97","Gymnasium"
"98","Swimming_pool"
"99","Administration_spaces"
"100","Architectural_barriers_overcoming_devices"
"101","External_access_ramps"
"102","Stairs_up_to_standard"
"103","Disabled_people_elevator"
"104","Elevator_stairlift"
"105","Disabled_people_compliant_sanitation"
"106","Weelchair_accessible_doors_width"
"107","Internal_routes"
"108","External_routes"
"109","Other_devices"
"110","School_use"
"111","Other_uses"
"112","Building_age"
"113","Building_period"
"114","Adaptation_age"
"115","Adaptation_period"
"116","Static_testing_certification"
"117","Seismic_design"
"118","Seismic_adaptation"
"119","Seismic_improvement"
"120","Heating_system"
"121","Centralised_fuel_oil_system"
"122","Centralised_diesel_oil_system"
"123","Centralised_methane_system"
"124","Centralised_LPG_system"
"125","Autonomous_electric_heating_elements"
"126","District_heating"
"127","Ventilation_conditioning"
"128","Solar_heating_system"
"129","Other_heating_system"
"130","Energy_saving_devices"
"131","Double_windows_glazing"
"132","Covers_insulation"
"133","Outside_walls_insulation"
"134","Heating_system_zoning"
"135","Photovoltaic_system"
"136","Acoustic_insulation"
"137","Acoustic_insulation_outside_noise"
"138","Internal_insulation"
"139","Different_floors_internal_insulation"
"140","Other_specfy"
"141","Inner_area"
"142","A_mun"
"143","B_mun"
"144","C_mun"
"145","D_mun"
"146","E_mun"
"147","F_mun"
"148","Undisturbed_context_MP"
"149","Dumps_proximity_MP"
"150","Pollutant_industries_proximity_MP"
"151","Polluted_waters_proximity_MP"
"152","Air_pollution_sources_proximity_MP"
"153","Acoustic_pollution_sources_proximity_MP"
"154","Electromagnetic_radiation_sources_proximity_MP"
"155","Graveyards_proximity_MP"
"156","Other_disturbances_proximity_MP"
"157","School_area_specific_criticalities_MP"
"158","Layby_absence_MP"
"159","Unenclosed_area_MP"
"160","Large_traffic_MP"
"161","Railway_traffic_MP"
"162","Abandoned_industries_MP"
"163","Decayed_urban_area_MP"
"164","Hazardous_industries_proximity_MP"
"165","Other_specific_criticalities_MP"
"166","School_bus_MP"
"167","Urban_public_transport_MP"
"168","Interurban_public_transport_MP"
"169","Railway_transport_MP"
"170","Private_transport_MP"
